src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.104,157.240.223.17,64211,443,34:73:5a:f1:6f:55,9c:a2:f4:00:6f:36,6,2024-12-01 16:51:14,89461.8034362793,2481.505977667031,33.533864563067986,22.35590970871199,11.177954854355995,2,1,140,82,86.0,54.0,70.0,16.0,82.0,82.0,82.0,0.0,86,54,74.0,14.236104336041748,202.66666666666666,40,20,20,1,44730.90171813965,54380.89370727539,35080.909729003906,9649.991989135742,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,74.0,516,294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,82.0,0,2,1,140,82
192.168.0.104,157.240.223.17,49262,443,34:73:5a:f1:6f:55,9c:a2:f4:00:6f:36,6,2024-12-01 16:51:14,89329.00428771973,2485.195058090655,33.58371700122507,22.38914466748338,11.19457233374169,2,1,140,82,86.0,54.0,70.0,16.0,82.0,82.0,82.0,0.0,86,54,74.0,14.236104336041748,202.66666666666666,40,20,20,1,44664.50214385986,51647.186279296875,37681.81800842285,6982.684135437012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,74.0,514,322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,82.0,0,2,1,140,82
192.168.0.104,157.240.223.53,58878,443,34:73:5a:f1:6f:55,9c:a2:f4:00:6f:36,6,2024-12-01 16:51:14,100134.13429260254,3035.9277797487102,29.95981361594122,19.973209077294147,9.986604538647073,2,1,178,126,124.0,54.0,89.0,35.0,126.0,126.0,126.0,0.0,126,54,101.33333333333333,33.47967874530592,1120.888888888889,40,20,20,1,50067.06714630127,64470.05271911621,35664.08157348633,14402.985572814941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,101.33333333333333,514,382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,126.0,0,2,1,178,126
